A.F.M.,Stoixeia Ofeileti,Dieythynsi Edras,"T.K., Perioxi","Basiki ofeili D.O.Y.,Elegktika Kentra",Basiki ofeili Teloneion,Syneisprattomena Dimosiou,Synolo Dimosiou,Basiki ofeili e-E.F.K.A.,Syneisprattomena e-E.F.K.A.,Synolo e-E.F.K.A.,Paratiriseis,Syntetagmenes
998827731,Γ ΚΟΚΚΙΝΙΔΗΣ ΚΑΙ ΣΙΑ ΟΕ,ΓΡΗΓΟΡΙΟΥ ΛΑΜΠΡΑΚΗ 86,54453 ΘΕΣΣΑΛΟΝΙΚΗ,"381.245,64",-,"309.033,93","690.279,57","339.168,75","400.076,46","739.245,21",.,"(40.6178107, 22.9694168)"
94419450,ΑΙΒΑΤΙΔΗΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΙΑΠΑΡΑΓΩΓΗΣ ΥΦΑΣ,ΙΦΙΓΕΝΕΙΑΣ 4,14122 ΗΡΑΚΛΕΙΟ,"361.117,80",-,"572.668,37","933.786,17","217.869,63","277.805,53","495.675,16",.,"(38.0475115, 23.7578679)"
92887796,ΑΦΟΙ ΑΠΟΣΤΟΛΟΥ Β   ΟΕ,ΚΡΙΕΖΑ 0,34017 ΚΡΙΕΖΑ,"476.723,79",-,"952.721,64","1.429.445,43",-,-,-,.,"(38.398894, 24.1349699)"
81192471,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ Α ΣΙΑ ΟΕ,Π ΓΡΗΓΟΡΟΥΣΗΣ 93,13451 ΚΑΜΑΤΕΡΟ,"474.722,39",-,"954.377,43","1.429.099,82",-,-,-,.,"(38.0587215, 23.7038442)"
81585230,ΚΩΝ ΔΗΜΗΤΡΟΠΟΥΛΟΣ ΚΑΙ ΣΙΑ ΟΕ,ΛΑΓΟΠΑΤΗ 27,22100 ΤΡΙΠΟΛΗ,"476.571,65",-,"952.143,44","1.428.715,09",-,-,-,.,"(37.5081557, 22.3763168)"
98093473,ROΥAL OLYMPIC CRUISES LTD,ΑΚΤΗ ΜΙΑΟΥΛΗ 87,18538 ΠΕΙΡΑΙΑΣ,"245.379,43",-,"476.577,50","721.956,93","243.680,17","463.029,54","706.709,71",.,"(37.9363439, 23.6378146)"
82936486,ΕΝΑΛΙΟΝ ΚΛΑΜΠ-Β.ΜΠΑΤΙΣΤΑ ΚΑΙ ΣΙΑ Ε.Ε,ΑΚΤΗ ΑΡΒΑΝΙΤΙΑΣ 0,21100 ΝΑΥΠΛΙΟ,"482.492,85",-,"946.105,21","1.428.598,06",-,-,-,.,"(37.5633147, 22.7963139)"
94410295,ΦΡΟΣΤ ΑΕ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ΤΕΧΝΙΚΗ ΕΤΑΙΡΙΑ ΗΛΕΚΤΡΟΜΗΧΑΝΟΛΟΓΙΚΩΝ ΕΡΓΩΝ,Ο Τ 48Β ΒΙΠΕΘ ΣΙΝΔΟΥ Γ ΦΑΣΗ ΔΑ 9 0,57022 ΒΙΠΕΘ ΣΙΝΔΟΣ,"810.354,66",-,"617.847,68","1.428.202,34",-,-,-,.,"(40.68414, 22.8124335)"
84122714,ΦΩΤΙΟΣ ΝΙΚ  ΜΑΡΓΑΡΙΤΗΣ ΚΑΙ ΣΙΑ ΕΕ,ΕΓΓΕΛΗ 8,11744 ΑΘΗΝΑ,"553.585,71",-,"874.432,20","1.428.017,91",-,-,-,.,"(37.9568751, 23.7249456)"
82864308,ΛΙΑΚΑΚΟΣ Η   ΠΑΠΑΒΑΣΙΛΕΙΟΥ Ι ΟΕ,ΕΛΑΙΩΝ 36,14564 ΚΗΦΙΣΙΑ,"877.999,23",-,"549.940,56","1.427.939,79",-,-,-,.,"(38.0913569, 23.796913)"
998212146,ΑΛΦΑ ΜΑΡΚΕΤ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΤΣΙΤΣΑΝΗ 67  ΚΑΙ  ΑΒΕΡΩΦ 0,42100 ΤΡΙΚΑΛΑ,"292.873,87",-,"400.467,97","693.341,84","344.848,60","389.410,32","734.258,92",.,"(39.5518221, 21.7714318)"
94371505,ΚΕΝΤΑΠΟΤΖΙΔΗ ΑΕ ΒΙΟΤΕΧΝΙΑ ΕΤΟΙ,15Ο ΧΛΜ ΘΕΣΣΑΛΟΝΙΚΗΣ ΜΟΥΔΑΝΙΩΝ 0,57001 ΘΕΡΜΗ,-,-,-,-,"675.529,82","751.822,82","1.427.352,64",.,"(40.5513761, 23.0012228)"
94508944,ΑΡ ΤΙ ΕΞΠΡΕΣ ΑΝ ΕΤ COURRIER Κ,ΠΟΣΕΙΔΩΝΟΣ 1,17342 ΑΓ ΔΗΜΗΤΡΙΟΣ,-,-,-,-,"498.553,17","928.146,70","1.426.699,87",.,"(37.9324179, 23.741412)"
94338293,ΚΥΡΒΑΣ ΑΕ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΒΙΟΜΗΧΑΝΙΚΗ ΓΕΩΡΓΙΚΗ ΕΤΑΙΡΕΙΑ,ΘΕΣΗ ΑΓΙΟ ΠΝΕΥΜΑ 2 0Ν ΧΙΛ ΙΕΡΑΠΕΤΡ ΓΡΑ ΛΥΓΙΑΣ 0,72200 ΙΕΡΑΠΕΤΡΑ,"704.774,76",-,"721.598,86","1.426.373,62",-,-,-,.,"(35.0158664, 25.6903096)"
998472638,ASK ΑΝΤΛΗΣΗ ΣΚΥΡΟΔΕΜΑΤΟΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΙΦΙΓΕΝΕΙΑΣ 81,14231 Ν ΙΩΝΙΑ,"207.462,40",-,"227.775,88","435.238,28","470.706,65","519.165,13","989.871,78",.,"(38.05023389999999, 23.7501509)"
94137446,ΓΙΛΑΝΤΖΗΣ ΑΕ,ΝΕΑ ΗΡΑΚΛΕΙΤΣΑ 0,64007 Ν ΠΕΡΑΜΟΣ,"171.791,58",-,"1.252.473,35","1.424.264,93",-,-,-,.,"(40.838332, 24.2982711)"
95418580,ΑΝΛΙΜΙΤΕΝΤ ΗΛΕΚΤΡΟΝΙΚΑ ΥΠΟΛΟΓΙΣΤΙΚΑ ΣΥΣΤ ΕΠΕ,ΑΦΡΟΔΙΤΗΣ 39,17561 ΠΑΛΑΙΟ ΦΑΛΗΡΟ,"692.989,89",-,"731.182,14","1.424.172,03",-,-,-,.,"(37.9286531, 23.6932243)"
998660385,ΑΛΦΑ ΔΥΝΑΜΙΚΗ ΜΟΝ ΕΠΕ,ΑΝΑΠΑΥΣΕΩΣ 1,30100 ΑΓΡΙΝΙΟ,"1.174.819,46",-,"249.347,43","1.424.166,89",-,-,-,.,"(38.6352723, 21.3966143)"
94218603,ΒΕΡΓΙΝΑ ΑΕ ΡΑΔΙΟΤΗΛΕΟΠΤΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ,Λ ΣΤΡΑΤΟΥ 31,54639 ΘΕΣΣΑΛΟΝΙΚΗ,"559.366,70",-,"207.035,82","766.402,52","341.225,54","315.730,86","656.956,40",.,"(40.6193635, 22.9582417)"
94032488,ΡΟΜΠΟΚΑΣ Δ ΑΕ,12 ΧΛΜ ΑΘΗΝΩΝ ΛΑΜ 0,14451 ΜΕΤΑΜΟΡΦΩΣΗ,-,-,-,-,"490.347,58","932.429,00","1.422.776,58",.,"(38.0556442, 23.7583685)"
91772381,ΚΑΦΙΡΗΣ Λ ΣΙΑ ΟΕ,ΜΙΝΩΟΣ 10,13121 ΙΛΙΟΝ,-,-,-,-,"493.873,14","928.024,11","1.421.897,25",.,"(38.0244863, 23.69666)"
94100084,ΨΥΧΟΓΙΟΣ ΣΤΑΥΡΟΣ ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ ΝΤΕΠΑΝ,ΚΡΑΤΥΛΟΥ 9,10442 ΑΘΗΝΑ,"474.550,23",-,"946.713,14","1.421.263,37",-,-,-,.,"(37.9920187, 23.7093921)"
84077972,ΕΥΑΓΓΕΛΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣΚΑΙ ΣΙΑ ΟΕ,1 ΧΛΜ ΧΑΛΚΙΔΟΝΑΣ  ΓΙΑΝΝΙΤΣΩΝ 0,57007 ΧΑΛΚΗΔΟΝΑ,"802.957,48",-,"617.860,95","1.420.818,43",-,-,-,.,"(40.7294458, 22.5989607)"
94300426,ΑΚΑΡΝΑΝΙΚΗ ΤΕΧΝΙΚΗ  ΑΝΩΝΥΜΗ ΤΕΧΝΙΚΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ,ΜΑΚΡΗ 11,30100 ΑΓΡΙΝΙΟ,"519.533,36",-,"900.838,84","1.420.372,20",-,-,-,.,"(38.6226993, 21.410285)"
81902909,ΚΑΡΑΒΙΑΣ ΔΗΜ ΚΑΡΑΒΙΑΣ ΣΠ ΥΡ,ΔΗΜΗΤΡΟΣ 15,17778 ΤΑΥΡΟΣ,"493.334,29",-,"927.008,22","1.420.342,51",-,-,-,.,"(37.97215850000001, 23.6924899)"
800546465,ΝΕΡΙΚΑΤ ΙΚΕ,ΘΥΣΣΟΥ 7,11142 ΑΘΗΝΑ,-,-,-,-,"1.058.088,12","361.885,11","1.419.973,23",.,"(38.0226619, 23.7426667)"
94532760,G STYLE ΕΙΔΗ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΕΞΟΠΛΙΣΜΟΥ ΑΕ,ΛΕΩΦ ΚΗΦΙΣΙΑΣ 119,15124 ΜΑΡΟΥΣΙ,"178.147,12",-,"233.985,88","412.133,00","518.819,92","488.806,48","1.007.626,40",.,"(38.047069, 23.8073008)"
99549835,ΘΕΟΔ ΑΝΑΓΝΩΣΤΟΥ ΚΑΙ ΣΙΑ ΕΕ,ΒΑΣΙΛΑΚΟΠΟΥΛΟΥ 2,13341 ΑΝΩ ΛΙΟΣΙΑ,"606.724,49",-,"813.000,11","1.419.724,60",-,-,-,.,"(38.0762829, 23.6887556)"
998875870,AMF ΜΕΤΑΦΟΡΙΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,12ΧΙΛ ΘΕΣ ΝΙΚΗΣ ΠΟΛΥΓΥΡΟΥ ΙΚΕΑ 0,57001 ΘΕΡΜΗ,"445.232,41",-,"113.165,29","558.397,70","711.095,76","149.978,45","861.074,21",.,"(40.464007, 23.216977)"
999978844,Χ ΨΑΡΡΑΣ ΚΑΙ ΣΙΑ ΕΕ,ΚΑΒΑΛΑΡΙ   ΘΕΣΗ ΣΤΑΝΟΒΑ 0,57200 ΛΑΓΚΑΔΑΣ,"474.090,45",-,"299.538,27","773.628,72","326.983,80","318.069,80","645.053,60",.,"(40.7174599, 23.044765)"
998125628,VETAG ΕΜΠΟΡΙΑ ΖΩΩΝ ΚΑΙ ΚΤΗΝΙΑΤΡΙΚΩΝ ΦΑΡΜΑΚΩΝ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΤΡΑΠΕΖΟΥΝΤΟΣ 53,14565 ΑΓΙΟΣ ΣΤΕΦΑΝΟΣ,"504.185,57",-,"570.806,87","1.074.992,44","186.756,24","156.788,10","343.544,34",.,"(38.1455107, 23.8545465)"
94449687,ΕΣΤΙΑΤΟΡΙΑ ΕΥΟΣΜΟΥ ΑΕ ΕΣΤΙΑΤΟΡΙΑ ΓΡΗΓΟΡΗΣ ΕΞΥΠΗΡΕΤΗΣΗΣ,ΚΑΡΑΟΛΗ ΚΑΙ ΔΗΜΗΤΡΙΟΥ 92,56224 ΕΥΟΣΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,"342.591,22",-,"343.043,74","685.634,96","350.668,50","382.174,86","732.843,36",.,"(40.6666699, 22.91235)"
801182651,FAST SECURITY ΙΔΙΩΤΙΚΗ ΕΠΙΧΕΙΡΗΣΗ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΑΣΦΑΛΕΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ Ε Π Ε,ΠΑΠΑΔΙΑΜΑΝΤΟΠΟΥΛΟΥ 9,15771 ΖΩΓΡΑΦΟΥ,"918.797,65",-,"174.095,54","1.092.893,19","263.201,12","62.275,80","325.476,92",.,"(37.9784573, 23.7534131)"
99030411,ΚΑΡΑΛΗΣ Π ΚΑΙ ΣΙΑ ΟΕ,ΣΑΡΑΝΤΑΠΟΡΟΥ 7,11144 ΑΘΗΝΑ,-,-,-,-,"489.559,77","928.469,61","1.418.029,38",.,"(38.019485, 23.7345058)"
95222466,ΠΛΟΙΟΣΚΑΛ ΕΠΕ,Λ ΔΗΜΟΚΡΑΤΙΑΣ 28,18756 ΚΕΡΑΤΣΙΝΙ,-,-,-,-,"496.496,68","921.277,63","1.417.774,31",.,"(37.9578463, 23.6267663)"
95537279,POWER TEAM ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΠΙΚΟΙΝΩΝΙΑΣ ΔΙΑΦΗΜΙΣΗΣ ΠΡΟΩΘΗΣΗΣ,ΜΙΝΩΟΣ 4,11743 ΑΘΗΝΑ,"844.568,09",-,"571.955,14","1.416.523,23",-,-,-,.,"(37.9583982, 23.7341597)"
82941240,ΑΦΟΙ ΜΠΑΡΜΠΑ ΟΕ,ΓΛΗΝΟΥ 15,54352 ΘΕΣΣΑΛΟΝΙΚΗ,"718.706,97",-,"697.555,83","1.416.262,80",-,-,-,.,"(40.6127495, 22.994735)"
93861780,ΜΠΙ ΜΠΙΟΥΤΙ ΕΠΕ Κ ΣΙΑ ΕΕ ΑΙΓΑΛΕΩ,ΚΑΡ ΣΕΡΒΙΑΣ 2,10557 ΑΘΗΝΑ,"325.596,83",-,"484.802,53","810.399,36","266.486,76","338.985,64","605.472,40",.,"(37.9763468, 23.7342108)"
99227780,ΑΧΜΕΤΗΣ ΚΡΕΑΤΕΜΠΟΡΙΚΗ ΦΙΛΙΠΠΙΑΔΑΣ ΟΕ,ΑΓ ΚΥΡΙΑΚΗ 0,48200 ΦΙΛΙΠΠΙΑΔΑ,"164.606,68",-,"203.868,93","368.475,61","430.765,30","615.661,19","1.046.426,49",.,"(39.2076669, 20.8809509)"
95411204,ΕΥΡΩΜΠΙΖΝΕΣ ΕΠΕ,ΑΓΙΟΥ ΑΝΔΡΕΟΥ 22,26221 ΠΑΤΡΑ,"566.270,39",-,"848.418,49","1.414.688,88",-,-,-,.,"(38.2498965, 21.7361058)"
94441690,ΕΥΡΩΕΜΠΟΡΙΚΗ ΑΕ,2 ΧΙΛ ΞΑΝΘΗΣ ΚΑΒΑΛ 0,67100 ΞΑΝΘΗ,"472.667,32",-,"941.680,62","1.414.347,94",-,-,-,.,"(41.1339016, 24.8871497)"
95062859,ΙΩΑΝΝΗΣ ΛΕΙΒΑΔΑΡΟΣ ΣΙΑ ΕΠΕ,ΣΑΛΑΜΙΝΑΣ 51,18546 ΠΕΙΡΑΙΑΣ,-,-,-,-,"488.010,78","925.586,97","1.413.597,75",.,"(37.9567449, 23.6312718)"
95627341,ΣΠΑΝΟΥΔΗΣ ΒΑΣΙΛ ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ,ΚΕΝΕΝΤΥ 2,18233 ΑΓ Ι ΡΕΝΤΗΣ,"647.561,71",-,"765.574,28","1.413.135,99",-,-,-,.,"(37.961807, 23.6747575)"
90163319,ΚΕΝΤΡΟ ΕΡΕΥΝΑΣ ΚΑΙ ΥΠΟΣΤΗΡΙΞΗΣ ΘΥΜΑΤΩΝ ΚΑΚΟΠΟΙΗΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΟΥ ΑΠΟΚΛΕΙΣΜΟΥ,Γ ΠΑΠΑΝΔΡΕΟΥ 2,45444 ΙΩΑΝΝΙΝΑ,"1.239.018,74",-,"173.924,49","1.412.943,23",-,-,-,.,"(39.6708311, 20.8535923)"
93650846,ΠΑΡ-ΒΑΣ ΝΙΚΟΛΑΙΔΗΣ ΟΕ-ΓΦΕΛΕΚΙΔΗΣ,ΔΗΜΟΚΡΑΤΙΑΣ 21,50100 ΚΟΖΑΝΗ,"535.026,69",-,"877.703,36","1.412.730,05",-,-,-,.,"(40.3035483, 21.7846506)"
999001992,ΑΘ ΣΤΕΦΟΥΛΗΣ ΚΑΙ ΣΙΑ ΕΕ,Μ  ΑΛΕΞΑΝΔΡΟΥ 115Β,66100 ΔΡΑΜΑ,"725.767,65",-,"686.570,21","1.412.337,86",-,-,-,.,"(41.1529291, 24.1466758)"
99755391,ΕURΟΝΕΤ  ΤΑΧΥΜΕΤAΦΟΡΕΣ  ΔΙΟΙΚΗ,ΑΣΤΡΟΥΣ 8,13121 ΙΛΙΟΝ,-,-,-,-,"562.961,41","848.848,71","1.411.810,12",.,"(38.0172601, 23.7097573)"
94376285,ΔΙΟΝΥΣΙΟΣ Θ ΚΟΛΠΟΝΔΙΝΟΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,ΠΛΑΝΟΣ 0,29100 ΖΑΚΥΝΘΟΣ,"638.826,83",-,"161.462,68","800.289,51","442.021,74","168.727,80","610.749,54",.,"(37.8163531, 20.8643706)"
999378181,S MEDIA GROUP A E ΠΑΤΡΑΙΚΑ ΜΕΣΑ ΕΝΗΜΕΡΩΣΗΣ  ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΚΟΡΑΗ  ΚΑΙ ΜΑΙΖΩΝΟΣ 4,26222 ΠΑΤΡΑ,"369.698,22",-,"544.328,16","914.026,38","220.257,46","276.722,27","496.979,73",.,"(38.25124599999999, 21.7408168)"
94070456,ΕΒΕΗ ΚΥΠΡΙΩΤΗΣ ΑΑΕ,3 ΧΙΛ ΚΟΡΩΠ ΒΑΡΗΣ 0,19400 ΚΟΡΩΠΙ,-,-,-,-,"502.000,94","908.874,12","1.410.875,06",.,"(37.9011442, 23.8726503)"
93617689,ΔΗΜΗΤΡΙΟΣ Λ ΦΙΛΑΝΔΡΙΑΝΟΣ  ΚΑΙ  ΣΙΑ ΕΕ ΒΙΟΤΕΧΝΙΑ ΕΦΑΡΜΟΓΩΝ ΣΙΔΗΡΟΥ  ΚΑΙ  ΞΥΛΟΥ,ΠΡΕΤΕΝΤΕΡΗ 11,11145 ΑΘΗΝΑ,"470.434,97",-,"940.364,28","1.410.799,25",-,-,-,.,"(38.0141227, 23.7235145)"
95578004,MEDICAL TECHNOLOGY CENTER ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΣΜΥΡΝΗΣ 92,12242 ΑΙΓΑΛΕΩ,"539.664,58",-,"870.737,69","1.410.402,27",-,-,-,.,"(37.9911834, 23.6867842)"
94186428,ΣΤΑΥΡΟΣ ΠΕΡΙΣΤΕΡΙΔΗΣ ΑΝΩΝ ΒΙΟΤ   ΕΜΠΟΡ ΕΤΑΙΡ ΥΠΟΔΗΜΑ,ΥΔΡΑΣ 10,18346 ΜΟΣΧΑΤΟ,"274.586,77",-,"613.040,04","887.626,81","179.879,84","342.756,80","522.636,64",.,"(37.9615243, 23.6931324)"
93606480,ΚΑΡΠΑΝΟΣ ΔΗΜΗΤΡΙΟΣ Κ ΣΙΑ ΕΕ,ΦΙΛΕΡΗ 3 ΘΕΣΗ ΜΑΥΡΟΜΑΝΔΗΛΑ ΠΕΤΡΩΤΟ 0,26500 ΠΑΤΡΑ,"441.022,07",-,"333.797,55","774.819,62","361.868,32","273.090,38","634.958,70",.,"(38.2005049, 21.7772152)"
95717807,ΕΛΕΚΙΔΗΣ Δ ΚΟΣΜΙΔΗΣ Ο ΕΠΕ,ΕΝΑΝΤΙ ΚΕΝΤΡ ΑΓΟΡΑ ΘΕΣ,54628 ΘΕΣΣΑΛΟΝΙΚΗ,"563.855,62",-,"845.487,69","1.409.343,31",-,-,-,.,"(40.6545294, 22.9067883)"
94089468,ΞΕΝΟΔΟΧΕΙΟ ΛΗΔΑ ΑΕ,ΑΤΡΕΙΔΩΝ ΑΝΝΑΝΙΟΥ 0,23100 ΣΠΑΡΤΗ,"216.229,86",-,"280.587,61","496.817,47","361.783,51","550.421,48","912.204,99",.,"(37.0738725, 22.4249334)"
998452222,ΦΟΥΝΤΟΥΛΑΚΗ ΑΡΕΤΗ ΚΑΙ ΣΙΑ ΟΕ,ΝΤΟΥΛΙΑΝΑ 0,73008 ΒΑΜΟΣ,"782.185,55",-,"347.800,24","1.129.985,79","184.452,27","94.398,61","278.850,88",.,"(35.4292199, 24.1916085)"
999939542,Ν ΔΑΓΓΟΥΛΗΣ ΚΑΙ ΣΙΑ ΕΕ,ΠΑΤΡΙΩΤΩΝ 7,17563 Π ΦΑΛΗΡΟ,-,-,-,-,"513.137,56","895.528,91","1.408.666,47",.,"(37.9206438, 23.7133169)"
998829423,QUALITY CENTER ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΜΕΓΑΛΟΥ ΑΛΕΞΑΝΔΡΟΥ 29Α,54641 ΘΕΣΣΑΛΟΝΙΚΗ,"888.765,19",-,"519.718,28","1.408.483,47",-,-,-,.,"(40.614225, 22.9527655)"
82592300,ΜΑΡΙΑ  ΜΑΝΑΤΟΥ  ΘΩΜΑΣ ΜΕΝΗΣ  ΟΕ,ΘΕΟΤΟΚΟΠΟΥΛΟΥ 21,14452 ΜΕΤΑΜΟΡΦΩΣΗ,"234.215,17",-,"312.295,43","546.510,60","376.133,82","485.273,27","861.407,09",.,"(38.0655665, 23.7682778)"
98093774,VALENTINE OCEANIC TRADINGING,ΑΚΤΗ ΜΙΑΟΥΛΗ 87,18538 ΠΕΙΡΑΙΑΣ,-,-,-,-,"488.380,47","919.158,49","1.407.538,96",.,"(37.9363439, 23.6378146)"
82908414,ΑΦΟΙ ΠΑΝΤΕΛΗΣ ΚΑΙ ΣΠΥΡΟΣ ΚΑΤΣΑΡΟΣ ΟΕ,ΚΑΛΑΜΑΚΙ 0,29100 ΖΑΚΥΝΘΟΣ,"334.781,34",-,"577.759,89","912.541,23","204.409,19","290.082,48","494.491,67",.,"(37.7425195, 20.8974003)"
94027915,SANTA ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΞΕΝΟΔΟΧΕΙΑΚΕΣ ΚΑΙ ΤΟΥΡΙΣΤΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ,ΓΡ ΛΑΜΠΡΑΚΗ 2,57019 Ν ΕΠΙΒΑΤΕΣ,"467.168,97",-,"145.735,14","612.904,11","618.063,15","175.433,60","793.496,75",.,"(40.6252371, 22.958805)"
99802372,ΑΝΟΙΚΟΔΟΜΗΣΗ ΕΠΕ,ΚΑΣΣΑΝΔΡΟΥ 35,56224 ΕΥΟΣΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,"911.109,96",-,"495.037,85","1.406.147,81",-,-,-,.,"(40.6708553, 22.9058066)"
93038968,ΔΗΜ ΜΟΙΡΑΣ ΣΙΑ ΕΝΕ,ΤΖΑΒΕΛΛΑ 106,18533 ΠΕΙΡΑΙΑΣ,"530.690,79",-,"875.202,21","1.405.893,00",-,-,-,.,"(37.9441291, 23.6623166)"
99359204,PUBLI COMM PUBLICATIONS ΑΝΩΝΥΜ,ΘΕΜΙΣΤΟΚΛΕΟΥΣ 1,10677 ΑΘΗΝΑ,-,-,-,-,"547.952,97","857.157,59","1.405.110,56",.,"(37.9840044, 23.7301246)"
999122882,ΧΑΡΑΛΑΜΠΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ ΚΑΙ ΣΙΑ ΕΕ,ΣΤΡΑΤΗΓΟΥ ΚΑΛΑΡΗ 7,54622 ΘΕΣΣΑΛΟΝΙΚΗ,"486.848,78",-,"220.485,22","707.334,00","466.626,10","230.181,93","696.808,03",.,"(40.6283576, 22.9470929)"
998799659,ΝΤΑΛΛΑΣ ΠΕΤΡΟΣ ΚΑΙ ΣΙΑ ΕΕ,6 ΧΙΛ Λ ΒΑΡΗΣ ΚΟΡΩΠΙΟΥ 0,19400 ΚΟΡΩΠΙ,"777.723,88",-,"626.030,49","1.403.754,37",-,-,-,.,"(37.8924175, 23.8813293)"
94063940,ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΒΙΟΜΗΧΑΝΙΑ ΣΙΤΗ,ΡΟΥΣΒΕΛΤ 45,62100 ΣΕΡΡΕΣ,-,-,-,-,"485.563,80","918.034,64","1.403.598,44",.,"(41.0913557, 23.5478757)"
94090234,ΕΤΟΙΜΑ ΕΝΔΥΜΑΤΑ ΚΑΡΥΣΤΟΥ ΑΒΕΕ,ΚΑΡΥΣΤΟΣ 0,34001 ΚΑΡΥΣΤΟΣ,-,-,-,-,"482.672,37","920.058,78","1.402.731,15",.,"(38.013999, 24.4198995)"
93445168,ΕΥΣΤΑΘΙΟΣ ΣΕΡΔΑΡΗΣ ΣΙΑ,ΑΛΚΙΦΡΩΝΟΣ 66,11853 ΑΘΗΝΑ,"464.781,53",-,"937.476,00","1.402.257,53",-,-,-,.,"(37.9677983, 23.7027075)"
84088464,ΠΕΤΡΟΣ ΓΕΩΡΓΑΝΤΑΣ ΚΑΙ ΣΙΑ ΕΕ,ΔΗΜΟΚΡΑΤΙΑΣ 51,71202 ΗΡΑΚΛΕΙΟ,"541.872,50",-,"859.536,04","1.401.408,54",-,-,-,.,"(35.3333445, 25.1387442)"
99893413,ΔΩΔΟΣ Κ ΒΑΒΑΛΕΚΑΣ Μ ΧΙΝΤΖΙΟΣ Θ ΧΙΝΤΖΙΟΣ Ι ΟΕ,ΑΘΑΝΑΣΙΟΥ ΑΡΓΥΡΟΥ 59,62124 ΣΕΡΡΕΣ,"326.954,50",-,"506.205,47","833.159,97","213.234,10","354.973,84","568.207,94",.,"(41.0872669, 23.5558427)"
94142296,ΣΑΒΒΑΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΕΙΔΩΝ ΕΝΔΥΣΗΣ,ΔΑΒΑΚΗ 62,17672 ΚΑΛΛΙΘΕΑ,"790.785,78",-,"610.169,64","1.400.955,42",-,-,-,.,"(37.9545375, 23.7037835)"
81619907,ΜΟΥΜΟΥΛΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ ΚΑΙ ΠΑΝΑΓΙΩΤΗΣΟΕ,ΤΕΡ 26ΗΣ ΟΚΤΩΒΡΙΟΥ 0,54627 ΘΕΣΣΑΛΟΝΙΚΗ,"748.576,29",-,"651.601,15","1.400.177,44",-,-,-,.,"(40.64032539999999, 22.9345544)"
81489334,ΚΑΡΑΓΙΑΝΝΗΣ ΚΕΡΜΕΛΙΩΤΗΣ ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΙΑ ΕΠΙΠΛΩΝ,8 ΧΙΛ ΛΑΡΙΣΑΣ ΤΡΙΚΑΛΩΝ 0,41110 ΛΑΡΙΣΑ,"207.398,17",-,"80.656,86","288.055,03","680.817,06","430.284,95","1.111.102,01",.,"(39.6335982, 22.4074165)"
